case,iou,precision,recall,true_positive,false_positive,false_negative,true_negative
204p_0001,0.6441804332152598,0.997960372960373,0.6450296619479582,20550,42,11309,28099
204p_0009,0.6917811168037198,0.8129796097347073,0.8227061714909886,48204,11089,10388,16419
204p_0020,0.7695402050261689,0.9946885832494688,0.7727154273801251,17791,95,5233,47081
204p_0033,0.6221075752158145,0.7820084756645691,0.7526263749845508,12179,3395,4003,46723
204p_0043,0.8387847917045661,0.9976199749015535,0.840466642362377,46108,110,8752,35030
